Age,ShoulderWidth,Waist,Hips,TotalHeight,Size
12,45.72,63.5,68.58,149.86,L
13,45.72,63.5,68.58,157.48,L
14,45.72,63.5,68.58,160.02,L
19,45.72,66.04,73.66,165.1,XL
17,45.72,66.04,73.66,142.24,XL
19,66.04,71.12,73.66,172.72,XL
18,48.26,68.58,73.66,170.18,XL
19,50.8,66.04,73.66,175.26,XL
19,45.72,63.5,68.58,172.72,L
20,43.18,66.04,71.12,175.26,L
20,45.72,63.5,66.04,172.72,L
22,50.8,66.04,71.12,182.88,L
2,22.86,45.72,50.8,78.74,S
2,22.86,48.26,53.34,88.9,S
3,20.32,30.48,27.94,81.28,S
4,20.32,40.64,25.4,88.9,S
4,25.4,50.8,50.8,96.52,S
4,25.4,50.8,50.8,96.52,S
4,27.94,55.88,55.88,99.06,S
4,27.94,50.8,53.34,93.98,S
4,27.94,55.88,55.88,99.06,S
5,25.4,58.42,60.96,106.68,S
6,22.86,50.8,50.8,93.98,S
6,25.4,50.8,48.26,96.52,S
6,22.86,53.34,50.8,99.06,S
8,45.72,30.48,22.86,106.68,S
11,33.02,55.88,27.94,127.0,S
12,27.94,55.88,25.4,127.0,S
15,43.18,96.52,106.68,149.86,S
18,48.26,106.68,116.84,167.64,S
14,35.56,50.8,96.52,162.56,S
20,45.72,93.98,99.06,149.86,S
29,53.34,96.52,111.76,167.64,S
37,43.18,83.82,93.98,172.72,S
49,48.26,121.92,160.02,152.4,S
52,40.64,35.56,114.3,152.4,S
23,45.72,119.38,157.48,157.48,S
40,45.72,114.3,116.84,177.8,S
51,48.26,91.44,99.06,165.1,S
65,45.72,99.06,104.14,172.72,S
62,53.34,114.3,111.76,170.18,M
65,45.72,99.06,104.14,172.72,S
46,53.34,109.22,114.3,162.56,S
65,43.18,99.06,101.6,162.56,S
44,48.26,111.76,111.76,175.26,S
40,45.72,114.3,116.84,177.8,S
68,45.72,93.98,93.98,162.56,S
44,48.26,111.76,114.3,170.18,S
37,43.18,83.82,93.98,172.72,S
51,48.26,91.44,99.06,165.1,S
39,43.18,91.44,93.98,170.18,S
51,45.72,88.9,99.06,172.72,S
29,53.34,96.52,111.76,167.64,S
18,48.26,106.68,116.84,162.56,S
18,38.1,96.52,101.6,152.4,S
16,45.72,81.28,81.28,154.94,M
18,48.26,93.98,101.6,149.86,M
24,40.64,104.14,114.3,165.1,S
52,40.64,104.14,114.3,152.4,S
1,22.86,45.72,53.34,88.9,S
14,45.72,50.8,96.52,162.56,S
49,48.26,121.92,160.02,152.4,S
15,43.18,96.52,106.68,149.86,S
8,27.94,60.96,66.04,124.46,S
5,25.4,58.42,60.96,106.68,S
1,22.86,45.72,50.8,78.74,S
28,45.72,119.38,157.48,157.48,S
21,45.72,114.3,149.86,152.4,S
20,45.72,93.98,99.06,149.86,S
10,35.56,63.5,30.48,132.08,S
7,27.94,55.88,22.86,114.3,S
7,30.48,55.88,27.94,119.38,S
6,22.86,50.8,25.4,93.98,S
7,30.48,58.42,22.86,104.14,S
12,27.94,55.88,25.4,127.0,S
10,30.48,55.88,30.48,111.76,S
7,27.94,55.88,27.94,116.84,S
6,30.48,58.42,25.4,114.3,S
7,33.02,53.34,25.4,114.3,S
9,27.94,60.96,27.94,127.0,S
6,22.86,50.8,25.4,93.98,S
6,25.4,50.8,25.4,91.44,S
