Age,ShoulderWidth,ChestWidth,Waist,Hips,TotalHeight,Size
18,14,13,26,11,48,S
11,14,13,23,13,33,S
9,13,11,22,11,46,S
10,12,13,24,24,49,S
10,14,11,23,11,46,S
13,14,14,27,28,54,S
10,12,13,24,24,49,S
7,13,10,25,24,44,S
11,13,12,25,26,51,S
18,14,13,26,11,48,S
9,13,11,22,11,46,S
4,10,10,20,20,38,S
10,14,11,23,27,48,S
11,13,22,23,27,38,M
10,14,11,25,11,46,S
11,13,12,25,26,51,S
7,13,10,18,24,44,S
6,9,10,23,21,39,S
10,14,11,18,11,46,S
8,19,10,24,20,38,S
10,12,13,27,22,49,S
13,14,14,25,28,54,S
8,11,10,21,25,26,S
8,12,11,22,24,47,S
9,13,11,12,11,46,S
8,11,11,27,24,44,S
13,14,19,25,28,54,S
11,12,14,23,27,53,S
11,13,13,23,27,52,S
8,14,11,23,23,49,S
11,14,12,24,24,38,S
10,13,13,22,24,46,S
8,19,12,21,23,49,S
8,11,15,23,26,48,S
4,10,10,20,20,38,S
9,13,11,24,25,47,S
4,10,10,20,20,38,S
11,12,13,25,27,53,S
2,13,10,25,24,44,S
10,13,10,27,26,47,S
11,13,12,20,25,38,S
13,19,15,20,26,49,S
9,14,11,23,22,46,S
10,11,15,23,27,47,S
13,10,11,21,23,54,S
12,15,12,22,24,56,S
9,13,11,22,11,46,S
11,10,11,25,20,38,S
9,13,11,23,12,38,S
8,12,10,24,11,47,S
6,9,10,18,21,29,S
11,13,12,16,20,29,S
9,13,11,24,11,44,S
12,15,12,26,28,47,S
11,13,13,22,15,54,S
8,9,10,21,22,44,S
7,13,10,25,24,44,S
8,11,9,12,24,44,S
6,6,19,23,23,37,S
5,5,9,21,21,41,S
4,11,11,22,22,39,S
5,12,10,21,23,30,S
6,11,10,21,20,32,S
6,11,11,22,21,32,S
7,11,11,22,23,30,S
6,13,11,22,24,44,S
4,11,10,20,21,37,S
12,14,14,29,31,55,S
5,11,11,22,22,44,S
13,14,12,20,31,57,S
14,14,13,24,26,57,S
11,13,11,24,25,52,S
12,12,11,20,28,53,S
9,12,11,24,25,48,S
5,10,10,22,24,32,S
12,14,11,25,28,58,S
7,12,11,24,26,46,S
6,12,11,24,24,45,S
13,15,12,27,30,59,S
11,12,11,24,26,49,S
11,12,11,25,27,51,S
4,11,11,22,22,39,S
11,13,14,22,11,39,S
13,12,11,21,26,53,S
15,13,23,11,16,52,M
13,15,12,27,30,49,S
11,12,11,25,29,44,S
9,10,12,20,13,45,S
8,11,13,21,14,44,S
9,12,13,13,14,46,S
9,11,13,12,14,48,S
8,10,12,12,12,45,S
4,10,12,11,11,38,S
4,9,11,10,10,38,S
4,9,13,10,11,37,S
3,9,10,10,11,36,S
3,10,10,9,11,38,S
3,10,11,9,11,38,S
3,10,12,10,11,39,S
3,8,11,9,10,36,S
4,9,10,10,10,38,S
4,9,12,9,11,37,S
13,11,14,13,15,54,S
14,14,15,12,16,53,S
16,13,15,12,14,54,S
15,13,15,13,13,54,S
17,13,16,14,17,55,S
10,11,14,10,11,44,S
15,13,14,13,14,53,S
17,13,14,13,14,53,S
16,13,15,13,16,52,S
18,13,18,15,17,58,S
19,13,21,16,18,58,M
6,11,12,9,13,44,S
6,11,13,9,12,44,S
7,11,14,10,13,44,S
5,10,10,20,9,39,S
7,14,12,23,13,48,S
6,11,10,22,12,43,S
6,10,11,11,10,40,S
6,11,12,11,12,43,S
8,13,11,13,13,44,S
6,11,10,11,10,41,S
6,11,10,12,11,44,S
7,14,12,13,12,48,S
6,13,12,13,12,48,S
7,12,13,13,12,48,S
6,11,12,11,11,40,S
7,10,13,12,12,45,S
6,11,11,12,11,38,S
7,11,12,13,13,43,S
7,12,12,12,12,45,S
7,10,13,12,13,45,S
6,11,11,13,11,39,S
5,12,12,12,11,39,S
5,11,12,13,12,40,S
5,10,11,11,11,39,S
6,12,11,12,11,41,S
7,14,13,13,12,47,S
11,11,12,13,12,50,S
5,12,10,11,11,38,S
4,12,13,13,12,38,S
5,11,10,11,10,41,S
6,11,11,11,11,40,S
7,11,12,13,11,44,S
8,13,10,11,13,49,S
10,12,13,12,15,51,S
10,11,12,11,14,48,S
10,12,13,11,14,47,S
11,14,13,12,14,52,S
11,11,13,12,12,49,S
13,12,12,12,14,55,S
11,13,13,10,14,52,S
12,13,14,12,17,53,S
11,12,12,10,12,49,S
13,15,13,13,16,49,S
12,13,13,12,14,52,S
10,14,12,12,12,49,S
13,14,14,14,13,54,S
12,15,12,12,13,52,S
11,12,12,10,11,48,S
9,14,12,13,12,48,S
10,14,11,10,17,54,S
7,10,9,9,13,44,S
8,11,11,10,13,45,S
10,10,13,10,17,50,S
13,15,11,10,16,55,S
12,13,12,11,15,57,S
10,13,11,11,14,52,S
7,11,9,9,10,44,S
5,10,9,8,10,39,S
5,10,9,8,10,39,S
4,11,9,8,13,37,S
8,13,13,13,13,45,S
8,14,12,11,10,43,S
10,13,13,12,11,44,S
8,12,11,11,10,43,S
8,13,11,11,11,43,S
7,11,11,10,10,40,S
7,13,11,11,11,45,S
9,14,13,12,12,45,S
11,11,13,10,10,49,S
10,13,12,12,12,46,S
11,11,14,12,12,49,S
13,12,13,12,11,50,S
12,11,12,11,12,50,S
12,13,12,12,12,51,S
12,14,13,12,12,50,S
12,10,14,12,12,51,S
11,11,12,11,11,47,S
14,11,13,10,11,49,S
8,11,11,9,11,44,S
5,10,11,8,8,36,S
7,10,8,11,10,40,S
7,14,12,13,12,43,S
7,14,12,13,12,48,S
11,12,13,13,11,50,S
7,11,12,11,12,47,S
6,11,12,12,11,40,S
7,10,13,12,12,38,S
8,10,11,20,12,47,S
5,10,10,12,9,39,S
8,12,11,13,13,41,S
6,13,11,22,24,44,S
4,11,11,22,22,39,S
12,13,12,26,27,49,S
15,17,15,17,24,57,S
13,12,15,24,25,50,S
12,14,12,11,14,50,S
11,13,11,12,14,49,S
13,16,14,13,28,52,S
7,12,11,23,23,43,S
5,11,10,21,23,39,S
7,11,9,21,21,39,S
5,12,9,21,21,41,S
7,11,11,22,21,31,S
6,11,10,21,20,32,S
7,11,10,21,20,31,S
5,12,12,21,26,40,S
5,11,11,21,23,34,S
6,13,11,22,24,39,S
17,11,14,25,18,59,S
5,15,11,23,23,43,S
13,8,12,14,29,23,S
2,15,8,19,20,32,S
10,12,12,14,29,23,S
10,12,12,24,26,45,S
13,6,14,18,30,59,S
10,11,12,2,26,45,S
4,17,11,22,22,40,S
13,15,14,18,30,59,S
4,15,10,20,21,37,S
